"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Variável - Área plantada ou destinada à colheita (Hectares)"
"Município";"Ano x Produto das lavouras temporárias e permanentes"
"Município";"2024"
"Município";"Total";"Café (em grão) Total";"Cana-de-açúcar";"Milho (em grão)";"Soja (em grão)"
"Alta Floresta D'Oeste (RO)";"9190";"4055";"5";"1850";"1697"
"Ariquemes (RO)";"25342";"370";"25";"7881";"15980"
"Cabixi (RO)";"54895";"24";"6";"21470";"32000"
"Cacoal (RO)";"15868";"4990";"26";"3145";"6411"
"Cerejeiras (RO)";"67615";"29";"20";"26510";"40000"
"Colorado do Oeste (RO)";"4557";"35";"2";"1880";"2310"
"Corumbiara (RO)";"89734";"25";"20";"33020";"54743"
"Costa Marques (RO)";"12015";"185";"5";"4070";"7224"
"Espigão D'Oeste (RO)";"4317";"580";"-";"1394";"1902"
"Guajará-Mirim (RO)";"12209";"62";"1";"2100";"9625"
"Jaru (RO)";"2938";"163";"6";"450";"187"
"Ji-Paraná (RO)";"1393";"72";"20";"560";"68"
"Machadinho D'Oeste (RO)";"26511";"1380";"9";"7425";"15500"
"Nova Brasilândia D'Oeste (RO)";"10194";"6900";"5";"1150";"1959"
"Ouro Preto do Oeste (RO)";"5137";"440";"14";"1384";"2009"
"Pimenta Bueno (RO)";"4114";"200";"50";"1401";"2085"
"Porto Velho (RO)";"89945";"2595";"56";"21000";"46994"
"Presidente Médici (RO)";"710";"265";"6";"35";"-"
"Rio Crespo (RO)";"52577";"112";"2";"16684";"35494"
"Rolim de Moura (RO)";"14185";"1420";"20";"3850";"8017"
"Santa Luzia D'Oeste (RO)";"12514";"700";"19";"3246";"8417"
"Vilhena (RO)";"81432";"38";"2";"28515";"42514"
"São Miguel do Guaporé (RO)";"54470";"4175";"5";"14173";"30971"
"Nova Mamoré (RO)";"14301";"260";"-";"1600";"11551"
"Alvorada D'Oeste (RO)";"2719";"1290";"10";"30";"1060"
"Alto Alegre dos Parecis (RO)";"11782";"4088";"6";"2872";"3579"
"Alto Paraíso (RO)";"44810";"344";"-";"12100";"29566"
"Buritis (RO)";"9118";"4450";"2";"2175";"1237"
"Novo Horizonte do Oeste (RO)";"6822";"1630";"6";"2050";"2975"
"Cacaulândia (RO)";"1740";"36";"19";"555";"550"
"Campo Novo de Rondônia (RO)";"2567";"430";"9";"420";"914"
"Candeias do Jamari (RO)";"47125";"197";"50";"9630";"30894"
"Castanheiras (RO)";"10056";"90";"3";"3105";"6500"
"Chupinguaia (RO)";"73272";"48";"2";"28483";"44269"
"Cujubim (RO)";"44206";"250";"4";"12837";"27291"
"Governador Jorge Teixeira (RO)";"1419";"270";"2";"190";"-"
"Itapuã do Oeste (RO)";"34157";"39";"50";"8005";"23500"
"Ministro Andreazza (RO)";"2018";"1395";"-";"295";"-"
"Mirante da Serra (RO)";"3802";"460";"5";"1622";"1324"
"Monte Negro (RO)";"1188";"212";"6";"70";"-"
"Nova União (RO)";"1004";"100";"3";"305";"209"
"Parecis (RO)";"8759";"420";"5";"2888";"5229"
