Municipio,Total,Cafe,Cana,Milho,Soja,Soja_norm,Milho_norm,Cana_norm,Cafe_norm,DPF,Classificacao
Sorriso (MT),1201535,0.0,1800.0,500000.0,600000.0,1.0,1.0,0.015,0.0,0.703,B - Alto
Rio Verde (GO),851475,0.0,25000.0,334300.0,425000.0,0.7083333333333334,0.6686,0.20833333333333334,0.0,0.5275666666666666,B - Alto
Nova Ubiratã (MT),806133,0.0,0.0,335000.0,410000.0,0.6833333333333333,0.67,0.0,0.0,0.475,C - Médio
Nova Mutum (MT),758334,0.0,0.0,298000.0,402000.0,0.67,0.596,0.0,0.0,0.4505,C - Médio
Jataí (GO),659283,0.0,30000.0,282000.0,325000.0,0.5416666666666666,0.564,0.25,0.0,0.43474999999999997,C - Médio
Diamantino (MT),756067,0.0,5150.0,246356.0,402304.0,0.6705066666666667,0.492712,0.042916666666666665,0.0,0.43348933333333334,C - Médio
Querência (MT),696466,0.0,0.0,250000.0,410000.0,0.6833333333333333,0.5,0.0,0.0,0.4325,C - Médio
Campo Novo do Parecis (MT),752065,0.0,32975.0,141300.0,408000.0,0.68,0.2826,0.27479166666666666,0.0,0.43160833333333337,C - Médio
São Desidério (BA),696125,1813.0,80.0,35251.0,508448.0,0.8474133333333334,0.070502,0.0006666666666666666,0.0423301424235349,0.40332784757568685,C - Médio
Formosa do Rio Preto (BA),607648,0.0,75.0,24657.0,513318.0,0.85553,0.049314,0.000625,0.0,0.397442,C - Médio
Maracaju (MS),590207,0.0,3020.0,250000.0,330000.0,0.55,0.5,0.025166666666666667,0.0,0.3775333333333334,C - Médio
Ponta Porã (MS),561602,0.0,11306.0,190030.0,322000.0,0.5366666666666666,0.38006,0.09421666666666667,0.0,0.35535833333333333,C - Médio
Sapezal (MT),722874,0.0,0.0,93835.0,398550.0,0.66425,0.18767,0.0,0.0,0.34583,C - Médio
São Félix do Araguaia (MT),551083,0.0,0.0,218897.0,313096.0,0.5218266666666667,0.437794,0.0,0.0,0.34427050000000003,C - Médio
Paranatinga (MT),528521,0.0,0.0,136700.0,352257.0,0.587095,0.2734,0.0,0.0,0.33254275,C - Médio
Primavera do Leste (MT),560153,15.0,0.0,205000.0,290000.0,0.48333333333333334,0.41,0.0,0.0003502218071445249,0.32003502218071445,C - Médio
Cristalina (GO),554599,2400.0,0.0,99700.0,338000.0,0.5633333333333334,0.1994,0.0,0.05603548914312398,0.3089535489143124,C - Médio
Sidrolândia (MS),464669,4.0,5014.0,189000.0,270000.0,0.45,0.378,0.04178333333333333,9.339248190520663e-05,0.30536600591485724,C - Médio
Dourados (MS),446242,0.0,22531.0,186200.0,230000.0,0.38333333333333336,0.3724,0.18775833333333333,0.0,0.30315166666666665,C - Médio
Canarana (MT),452510,0.0,0.0,110000.0,320000.0,0.5333333333333333,0.22,0.0,0.0,0.295,C - Médio
Brasnorte (MT),476259,0.0,20.0,162078.0,282695.0,0.47115833333333335,0.324156,0.00016666666666666666,0.0,0.29309358333333335,C - Médio
Rio Brilhante (MS),336799,0.0,69932.0,110000.0,152000.0,0.25333333333333335,0.22,0.5827666666666667,0.0,0.2855533333333333,C - Médio
Uberaba (MG),284977,408.0,120000.0,24890.0,90280.0,0.15046666666666667,0.04978,1.0,0.009526033154331077,0.28110760331543316,C - Médio
Tabaporã (MT),474059,25.0,0.0,205000.0,237000.0,0.395,0.41,0.0,0.0005837030119075414,0.28030837030119077,C - Médio
Mineiros (GO),344000,0.0,59500.0,121000.0,150000.0,0.25,0.242,0.49583333333333335,0.0,0.27216666666666667,C - Médio
Ipiranga do Norte (MT),448302,0.0,0.0,170000.0,238000.0,0.39666666666666667,0.34,0.0,0.0,0.2635,C - Médio
Itiquira (MT),396436,6.0,5000.0,125800.0,250000.0,0.4166666666666667,0.2516,0.041666666666666664,0.00014008872285780995,0.2587473422056191,C - Médio
